driver_id,round,position,grid_position,points,status,laps_completed,rarity
norris,1,1.0,1.0,25.0,Finished,57.0,Legendary
max_verstappen,1,2.0,3.0,18.0,Finished,57.0,Epic
russell,1,3.0,4.0,15.0,Finished,57.0,Epic
antonelli,1,4.0,16.0,12.0,Finished,57.0,Rare
albon,1,5.0,6.0,10.0,Finished,57.0,Rare
stroll,1,6.0,13.0,8.0,Finished,57.0,Rare
hulkenberg,1,7.0,17.0,6.0,Finished,57.0,Rare
leclerc,1,8.0,7.0,4.0,Finished,57.0,Rare
piastri,1,9.0,2.0,2.0,Finished,57.0,Rare
hamilton,1,10.0,8.0,1.0,Finished,57.0,Rare
gasly,1,11.0,9.0,0.0,Finished,57.0,Common
tsunoda,1,12.0,5.0,0.0,Finished,57.0,Common
ocon,1,13.0,19.0,0.0,Finished,57.0,Common
bearman,1,14.0,20.0,0.0,Finished,57.0,Common
lawson,1,15.0,18.0,0.0,Retired,46.0,Common
bortoleto,1,16.0,15.0,0.0,Retired,45.0,Common
alonso,1,17.0,12.0,0.0,Retired,32.0,Common
sainz,1,18.0,10.0,0.0,Retired,0.0,Common
doohan,1,19.0,14.0,0.0,Retired,0.0,Common
hadjar,1,20.0,11.0,0.0,Retired,0.0,Common
piastri,2,1.0,1.0,25.0,Finished,56.0,Legendary
norris,2,2.0,3.0,18.0,Finished,56.0,Epic
russell,2,3.0,2.0,15.0,Finished,56.0,Epic
max_verstappen,2,4.0,4.0,12.0,Finished,56.0,Rare
ocon,2,5.0,11.0,10.0,Finished,56.0,Rare
antonelli,2,6.0,8.0,8.0,Finished,56.0,Rare
albon,2,7.0,10.0,6.0,Finished,56.0,Rare
bearman,2,8.0,17.0,4.0,Finished,56.0,Rare
stroll,2,9.0,14.0,2.0,Finished,56.0,Rare
sainz,2,10.0,15.0,1.0,Finished,56.0,Rare
hadjar,2,11.0,7.0,0.0,Finished,56.0,Common
lawson,2,12.0,20.0,0.0,Finished,56.0,Common
doohan,2,13.0,18.0,0.0,Finished,56.0,Common
bortoleto,2,14.0,19.0,0.0,Lapped,55.0,Common
hulkenberg,2,15.0,12.0,0.0,Lapped,55.0,Common
tsunoda,2,16.0,9.0,0.0,Lapped,55.0,Common
alonso,2,17.0,13.0,0.0,Retired,4.0,Common
leclerc,2,18.0,6.0,0.0,Disqualified,0.0,Common
hamilton,2,19.0,5.0,0.0,Disqualified,0.0,Common
gasly,2,20.0,16.0,0.0,Disqualified,0.0,Common
max_verstappen,3,1.0,1.0,25.0,Finished,53.0,Legendary
norris,3,2.0,2.0,18.0,Finished,53.0,Epic
piastri,3,3.0,3.0,15.0,Finished,53.0,Epic
leclerc,3,4.0,4.0,12.0,Finished,53.0,Rare
russell,3,5.0,5.0,10.0,Finished,53.0,Rare
antonelli,3,6.0,6.0,8.0,Finished,53.0,Rare
hamilton,3,7.0,8.0,6.0,Finished,53.0,Rare
hadjar,3,8.0,7.0,4.0,Finished,53.0,Rare
albon,3,9.0,9.0,2.0,Finished,53.0,Rare
bearman,3,10.0,10.0,1.0,Finished,53.0,Rare
alonso,3,11.0,12.0,0.0,Finished,53.0,Common
tsunoda,3,12.0,14.0,0.0,Finished,53.0,Common
gasly,3,13.0,11.0,0.0,Finished,53.0,Common
sainz,3,14.0,15.0,0.0,Finished,53.0,Common
doohan,3,15.0,19.0,0.0,Finished,53.0,Common
hulkenberg,3,16.0,16.0,0.0,Finished,53.0,Common
lawson,3,17.0,13.0,0.0,Finished,53.0,Common
ocon,3,18.0,18.0,0.0,Finished,53.0,Common
bortoleto,3,19.0,17.0,0.0,Finished,53.0,Common
stroll,3,20.0,20.0,0.0,Lapped,52.0,Common
piastri,4,1.0,1.0,25.0,Finished,57.0,Legendary
russell,4,2.0,3.0,18.0,Finished,57.0,Epic
norris,4,3.0,6.0,15.0,Finished,57.0,Epic
leclerc,4,4.0,2.0,12.0,Finished,57.0,Rare
hamilton,4,5.0,9.0,10.0,Finished,57.0,Rare
max_verstappen,4,6.0,7.0,8.0,Finished,57.0,Rare
gasly,4,7.0,4.0,6.0,Finished,57.0,Rare
ocon,4,8.0,14.0,4.0,Finished,57.0,Rare
tsunoda,4,9.0,10.0,2.0,Finished,57.0,Rare
bearman,4,10.0,20.0,1.0,Finished,57.0,Rare
antonelli,4,11.0,5.0,0.0,Finished,57.0,Common
albon,4,12.0,15.0,0.0,Finished,57.0,Common
hadjar,4,13.0,12.0,0.0,Finished,57.0,Common
doohan,4,14.0,11.0,0.0,Finished,57.0,Common
alonso,4,15.0,13.0,0.0,Finished,57.0,Common
lawson,4,16.0,17.0,0.0,Finished,57.0,Common
stroll,4,17.0,19.0,0.0,Finished,57.0,Common
bortoleto,4,18.0,18.0,0.0,Finished,57.0,Common
sainz,4,19.0,8.0,0.0,Retired,45.0,Common
hulkenberg,4,20.0,16.0,0.0,Disqualified,0.0,Common
piastri,5,1.0,2.0,25.0,Finished,50.0,Legendary
max_verstappen,5,2.0,1.0,18.0,Finished,50.0,Epic
leclerc,5,3.0,4.0,15.0,Finished,50.0,Epic
norris,5,4.0,10.0,12.0,Finished,50.0,Rare
russell,5,5.0,3.0,10.0,Finished,50.0,Rare
antonelli,5,6.0,5.0,8.0,Finished,50.0,Rare
hamilton,5,7.0,7.0,6.0,Finished,50.0,Rare
sainz,5,8.0,6.0,4.0,Finished,50.0,Rare
albon,5,9.0,11.0,2.0,Finished,50.0,Rare
hadjar,5,10.0,14.0,1.0,Finished,50.0,Rare
alonso,5,11.0,13.0,0.0,Finished,50.0,Common
lawson,5,12.0,12.0,0.0,Finished,50.0,Common
bearman,5,13.0,15.0,0.0,Finished,50.0,Common
ocon,5,14.0,19.0,0.0,Finished,50.0,Common
hulkenberg,5,15.0,18.0,0.0,Lapped,49.0,Common
stroll,5,16.0,16.0,0.0,Lapped,49.0,Common
doohan,5,17.0,17.0,0.0,Lapped,49.0,Common
bortoleto,5,18.0,20.0,0.0,Lapped,49.0,Common
tsunoda,5,19.0,8.0,0.0,Retired,1.0,Common
gasly,5,20.0,9.0,0.0,Retired,0.0,Common
piastri,6,1.0,4.0,25.0,Finished,57.0,Legendary
norris,6,2.0,2.0,18.0,Finished,57.0,Epic
russell,6,3.0,5.0,15.0,Finished,57.0,Epic
max_verstappen,6,4.0,1.0,12.0,Finished,57.0,Rare
albon,6,5.0,7.0,10.0,Finished,57.0,Rare
antonelli,6,6.0,3.0,8.0,Finished,57.0,Rare
leclerc,6,7.0,8.0,6.0,Finished,57.0,Rare
hamilton,6,8.0,12.0,4.0,Finished,57.0,Rare
sainz,6,9.0,6.0,2.0,Finished,57.0,Rare
tsunoda,6,10.0,10.0,1.0,Finished,57.0,Rare
hadjar,6,11.0,11.0,0.0,Finished,57.0,Common
ocon,6,12.0,9.0,0.0,Finished,57.0,Common
gasly,6,13.0,20.0,0.0,Finished,57.0,Common
hulkenberg,6,14.0,16.0,0.0,Lapped,56.0,Common
alonso,6,15.0,17.0,0.0,Lapped,56.0,Common
stroll,6,16.0,18.0,0.0,Lapped,56.0,Common
lawson,6,17.0,15.0,0.0,Retired,36.0,Common
bortoleto,6,18.0,13.0,0.0,Retired,30.0,Common
bearman,6,19.0,19.0,0.0,Retired,27.0,Common
doohan,6,20.0,14.0,0.0,Retired,0.0,Common
max_verstappen,7,1.0,2.0,25.0,Finished,63.0,Legendary
norris,7,2.0,4.0,18.0,Finished,63.0,Epic
piastri,7,3.0,1.0,15.0,Finished,63.0,Epic
hamilton,7,4.0,12.0,12.0,Finished,63.0,Rare
albon,7,5.0,7.0,10.0,Finished,63.0,Rare
leclerc,7,6.0,11.0,8.0,Finished,63.0,Rare
russell,7,7.0,3.0,6.0,Finished,63.0,Rare
sainz,7,8.0,6.0,4.0,Finished,63.0,Rare
hadjar,7,9.0,9.0,2.0,Finished,63.0,Rare
tsunoda,7,10.0,20.0,1.0,Finished,63.0,Rare
alonso,7,11.0,5.0,0.0,Finished,63.0,Common
hulkenberg,7,12.0,17.0,0.0,Finished,63.0,Common
gasly,7,13.0,10.0,0.0,Finished,63.0,Common
lawson,7,14.0,15.0,0.0,Finished,63.0,Common
stroll,7,15.0,8.0,0.0,Finished,63.0,Common
colapinto,7,16.0,16.0,0.0,Finished,63.0,Common
bearman,7,17.0,19.0,0.0,Finished,63.0,Common
bortoleto,7,18.0,14.0,0.0,Finished,63.0,Common
antonelli,7,19.0,13.0,0.0,Retired,44.0,Common
ocon,7,20.0,18.0,0.0,Retired,27.0,Common
norris,8,1.0,1.0,25.0,Finished,78.0,Legendary
leclerc,8,2.0,2.0,18.0,Finished,78.0,Epic
piastri,8,3.0,3.0,15.0,Finished,78.0,Epic
max_verstappen,8,4.0,4.0,12.0,Finished,78.0,Rare
hamilton,8,5.0,7.0,10.0,Finished,78.0,Rare
hadjar,8,6.0,5.0,8.0,Lapped,77.0,Rare
ocon,8,7.0,8.0,6.0,Lapped,77.0,Rare
lawson,8,8.0,9.0,4.0,Lapped,77.0,Rare
albon,8,9.0,10.0,2.0,Lapped,76.0,Rare
sainz,8,10.0,11.0,1.0,Lapped,76.0,Rare
russell,8,11.0,14.0,0.0,Lapped,76.0,Common
bearman,8,12.0,20.0,0.0,Lapped,76.0,Common
colapinto,8,13.0,18.0,0.0,Lapped,76.0,Common
bortoleto,8,14.0,16.0,0.0,Lapped,76.0,Common
stroll,8,15.0,19.0,0.0,Lapped,76.0,Common
hulkenberg,8,16.0,13.0,0.0,Lapped,76.0,Common
tsunoda,8,17.0,12.0,0.0,Lapped,76.0,Common
antonelli,8,18.0,15.0,0.0,Lapped,75.0,Common
alonso,8,19.0,6.0,0.0,Retired,36.0,Common
gasly,8,20.0,17.0,0.0,Retired,7.0,Common
piastri,9,1.0,1.0,25.0,Finished,66.0,Legendary
norris,9,2.0,2.0,18.0,Finished,66.0,Epic
leclerc,9,3.0,7.0,15.0,Finished,66.0,Epic
russell,9,4.0,4.0,12.0,Finished,66.0,Rare
hulkenberg,9,5.0,15.0,10.0,Finished,66.0,Rare
hamilton,9,6.0,5.0,8.0,Finished,66.0,Rare
hadjar,9,7.0,9.0,6.0,Finished,66.0,Rare
gasly,9,8.0,8.0,4.0,Finished,66.0,Rare
alonso,9,9.0,10.0,2.0,Finished,66.0,Rare
max_verstappen,9,10.0,3.0,1.0,Finished,66.0,Rare
lawson,9,11.0,13.0,0.0,Finished,66.0,Common
bortoleto,9,12.0,12.0,0.0,Finished,66.0,Common
tsunoda,9,13.0,19.0,0.0,Finished,66.0,Common
sainz,9,14.0,17.0,0.0,Finished,66.0,Common
colapinto,9,15.0,18.0,0.0,Finished,66.0,Common
ocon,9,16.0,16.0,0.0,Finished,66.0,Common
bearman,9,17.0,14.0,0.0,Finished,66.0,Common
antonelli,9,18.0,6.0,0.0,Retired,53.0,Common
albon,9,19.0,11.0,0.0,Retired,27.0,Common
russell,10,1.0,1.0,25.0,Finished,70.0,Legendary
max_verstappen,10,2.0,2.0,18.0,Finished,70.0,Epic
antonelli,10,3.0,4.0,15.0,Finished,70.0,Epic
piastri,10,4.0,3.0,12.0,Finished,70.0,Rare
leclerc,10,5.0,8.0,10.0,Finished,70.0,Rare
hamilton,10,6.0,5.0,8.0,Finished,70.0,Rare
alonso,10,7.0,6.0,6.0,Finished,70.0,Rare
hulkenberg,10,8.0,11.0,4.0,Finished,70.0,Rare
ocon,10,9.0,14.0,2.0,Lapped,69.0,Rare
sainz,10,10.0,16.0,1.0,Lapped,69.0,Rare
bearman,10,11.0,13.0,0.0,Lapped,69.0,Common
tsunoda,10,12.0,18.0,0.0,Lapped,69.0,Common
colapinto,10,13.0,10.0,0.0,Lapped,69.0,Common
bortoleto,10,14.0,15.0,0.0,Lapped,69.0,Common
gasly,10,15.0,20.0,0.0,Lapped,69.0,Common
hadjar,10,16.0,12.0,0.0,Lapped,69.0,Common
stroll,10,17.0,17.0,0.0,Lapped,69.0,Common
norris,10,18.0,7.0,0.0,Retired,66.0,Common
lawson,10,19.0,19.0,0.0,Retired,53.0,Common
albon,10,20.0,9.0,0.0,Retired,46.0,Common
norris,11,1.0,1.0,25.0,Finished,70.0,Legendary
piastri,11,2.0,3.0,18.0,Finished,70.0,Epic
leclerc,11,3.0,2.0,15.0,Finished,70.0,Epic
hamilton,11,4.0,4.0,12.0,Finished,70.0,Rare
russell,11,5.0,5.0,10.0,Finished,70.0,Rare
lawson,11,6.0,6.0,8.0,Finished,70.0,Rare
alonso,11,7.0,11.0,6.0,Lapped,69.0,Rare
bortoleto,11,8.0,8.0,4.0,Lapped,69.0,Rare
hulkenberg,11,9.0,20.0,2.0,Lapped,69.0,Rare
ocon,11,10.0,17.0,1.0,Lapped,69.0,Rare
bearman,11,11.0,15.0,0.0,Lapped,69.0,Common
hadjar,11,12.0,13.0,0.0,Lapped,69.0,Common
gasly,11,13.0,10.0,0.0,Lapped,69.0,Common
stroll,11,14.0,16.0,0.0,Lapped,69.0,Common
colapinto,11,15.0,14.0,0.0,Lapped,69.0,Common
tsunoda,11,16.0,18.0,0.0,Lapped,68.0,Common
albon,11,17.0,12.0,0.0,Retired,15.0,Common
max_verstappen,11,18.0,7.0,0.0,Retired,0.0,Common
antonelli,11,19.0,9.0,0.0,Retired,0.0,Common
sainz,11,20.0,19.0,0.0,Did not start,0.0,Common
norris,12,1.0,3.0,25.0,Finished,52.0,Legendary
piastri,12,2.0,2.0,18.0,Finished,52.0,Epic
hulkenberg,12,3.0,19.0,15.0,Finished,52.0,Epic
hamilton,12,4.0,5.0,12.0,Finished,52.0,Rare
max_verstappen,12,5.0,1.0,10.0,Finished,52.0,Rare
gasly,12,6.0,8.0,8.0,Finished,52.0,Rare
stroll,12,7.0,17.0,6.0,Finished,52.0,Rare
albon,12,8.0,13.0,4.0,Finished,52.0,Rare
alonso,12,9.0,7.0,2.0,Finished,52.0,Rare
russell,12,10.0,4.0,1.0,Finished,52.0,Rare
bearman,12,11.0,18.0,0.0,Finished,52.0,Common
sainz,12,12.0,9.0,0.0,Finished,52.0,Common
ocon,12,13.0,14.0,0.0,Finished,52.0,Common
leclerc,12,14.0,6.0,0.0,Finished,52.0,Common
tsunoda,12,15.0,11.0,0.0,Lapped,51.0,Common
antonelli,12,16.0,10.0,0.0,Retired,23.0,Common
hadjar,12,17.0,12.0,0.0,Retired,17.0,Common
bortoleto,12,18.0,16.0,0.0,Retired,3.0,Common
lawson,12,19.0,15.0,0.0,Retired,0.0,Common
colapinto,12,20.0,20.0,0.0,Did not start,0.0,Common
piastri,13,1.0,2.0,25.0,Finished,44.0,Legendary
